Year,Sector,Annual_Cumulative_Capacity_MW
2011,Wind,17350
2012,Wind,19050
2013,Wind,21040
2014,Wind,23350
2015,Wind,26780
2016,Wind,32280
2017,Wind,34150
2018,Wind,35630
2019,Wind,37740
2020,Wind,39250
2021,Wind,40360
2022,Wind,42630
2023,Wind,45890
2024,Wind,50040
2011,Solar,940
2012,Solar,1690
2013,Solar,2630
2014,Solar,3740
2015,Solar,6760
2016,Solar,12290
2017,Solar,22340
2018,Solar,29100
2019,Solar,35610
2020,Solar,41240
2021,Solar,54000
2022,Solar,66780
2023,Solar,81820
2024,Solar,105650
